datetime,USD,EUR,GBP,AUD,NZD,CAD,CHF,TRY,ZAR,MXN,NOK,SEK,HKD
2015-12-23 00:00:00,121.0250,132.3690,179.5290,87.5300,82.4430,86.9410,122.3960,41.2506,7.9810,7.0440,13.8800,14.3485,15.6122
2015-12-23 00:01:00,121.0220,132.3740,179.5220,87.5280,82.4410,86.9390,122.3980,41.2502,7.9810,7.0438,13.8799,14.3484,15.6118
2015-12-23 00:02:00,121.0200,132.3730,179.5170,87.5270,82.4400,86.9400,122.4000,41.2496,7.9810,7.0437,13.8800,14.3486,15.6116
2015-12-23 00:03:00,121.0270,132.3780,179.5260,87.5430,82.4500,86.9460,122.4010,41.2526,7.9810,7.0442,13.8805,14.3490,15.6125
2015-12-23 00:04:00,121.0340,132.3840,179.5360,87.5480,82.4560,86.9510,122.4040,41.2550,7.9820,7.0447,13.8813,14.3499,15.6134
2015-12-23 00:05:00,121.0320,132.3940,179.5460,87.5470,82.4660,86.9490,122.4020,41.2550,7.9820,7.0446,13.8819,14.3507,15.6131
2015-12-23 00:06:00,121.0310,132.3950,179.5490,87.5430,82.4630,86.9480,122.4010,41.2540,7.9820,7.0445,13.8805,14.3507,15.6130
2015-12-23 00:07:00,121.0270,132.4110,179.5600,87.5430,82.4580,86.9450,122.4300,41.2562,7.9810,7.0442,13.8821,14.3530,15.6125
2015-12-23 00:08:00,121.0280,132.4110,179.5590,87.5450,82.4640,86.9420,122.4290,41.2565,7.9810,7.0442,13.8821,14.3532,15.6126
2015-12-23 00:09:00,121.0220,132.4050,179.5510,87.5450,82.4640,86.9420,122.4240,41.2545,7.9810,7.0440,13.8811,14.3524,15.6118
2015-12-23 00:10:00,121.0220,132.3950,179.5560,87.5420,82.4640,86.9430,122.4190,41.2552,7.9810,7.0441,13.8806,14.3507,15.6118
2015-12-23 00:11:00,121.0230,132.3970,179.5630,87.5370,82.4630,86.9410,122.4150,41.2548,7.9810,7.0440,13.8807,14.3508,15.6120
2015-12-23 00:12:00,121.0220,132.3970,179.5670,87.5700,82.4870,86.9470,122.4120,41.2516,7.9810,7.0444,13.8807,14.3507,15.6118
2015-12-23 00:13:00,121.0220,132.3980,179.5650,87.5720,82.4880,86.9470,122.4170,41.2516,7.9810,7.0445,13.8812,14.3508,15.6118
2015-12-23 00:14:00,121.0220,132.4110,179.5710,87.5690,82.4920,86.9480,122.4230,41.2523,7.9810,7.0439,13.8819,14.3520,15.6119
2015-12-23 00:15:00,121.0370,132.4240,179.5820,87.5780,82.4980,86.9550,122.4380,41.2575,7.9820,7.0448,13.8813,14.3538,15.6139
2015-12-23 00:16:00,121.0380,132.4350,179.5900,87.5790,82.5020,86.9550,122.4470,41.2578,7.9820,7.0449,13.8821,14.3546,15.6140
2015-12-23 00:17:00,121.0370,132.4330,179.5910,87.5870,82.5020,86.9550,122.4480,41.2575,7.9820,7.0448,13.8818,14.3545,15.6139
2015-12-23 00:18:00,121.0350,132.4320,179.5790,87.5770,82.5010,86.9500,122.4460,41.2568,7.9820,7.0446,13.8813,14.3537,15.6136
2015-12-23 00:19:00,121.0350,132.4360,179.5680,87.5760,82.4960,86.9500,122.4440,41.2582,7.9820,7.0446,13.8818,14.3542,15.6136
2015-12-23 00:20:00,121.0350,132.4120,179.5700,87.5770,82.4950,86.9430,122.4380,41.2568,7.9820,7.0445,13.8800,14.3524,15.6139
2015-12-23 00:21:00,121.0290,132.4000,179.5610,87.5720,82.5030,86.9410,122.4310,41.2547,7.9810,7.0441,13.8785,14.3512,15.6131
2015-12-23 00:22:00,121.0290,132.3990,179.5760,87.5710,82.5030,86.9440,122.4240,41.2512,7.9810,7.0441,13.8787,14.3508,15.6131
2015-12-23 00:23:00,121.0300,132.4000,179.5770,87.5710,82.5040,86.9440,122.4270,41.2516,7.9810,7.0442,13.8785,14.3508,15.6132
2015-12-23 00:24:00,121.0310,132.4030,179.5780,87.5700,82.5020,86.9420,122.4220,41.2512,7.9810,7.0442,13.8792,14.3516,15.6134
2015-12-23 00:25:00,121.0310,132.4030,179.5780,87.5720,82.5020,86.9430,122.4230,41.2512,7.9810,7.0442,13.8789,14.3514,15.6132
2015-12-23 00:26:00,121.0290,132.4010,179.5840,87.5740,82.4940,86.9400,122.4210,41.2505,7.9810,7.0440,13.8785,14.3510,15.6130
2015-12-23 00:27:00,121.0250,132.3950,179.5710,87.5690,82.4920,86.9330,122.4200,41.2499,7.9810,7.0440,13.8774,14.3497,15.6124
2015-12-23 00:28:00,121.0280,132.3980,179.5780,87.5720,82.4930,86.9380,122.4240,41.2509,7.9810,7.0442,13.8779,14.3502,15.6128
2015-12-23 00:29:00,121.0250,132.3970,179.5740,87.5730,82.4930,86.9430,122.4150,41.2499,7.9810,7.0440,13.8781,14.3502,15.6124
2015-12-23 00:30:00,121.0370,132.4190,179.6040,87.5910,82.5190,86.9570,122.4400,41.2553,7.9820,7.0449,13.8809,14.3530,15.6140
2015-12-23 00:31:00,121.0300,132.4130,179.5990,87.5890,82.5140,86.9570,122.4370,41.2537,7.9810,7.0447,13.8804,14.3523,15.6131
2015-12-23 00:32:00,121.0300,132.4010,179.5940,87.5850,82.5110,86.9510,122.4300,41.2545,7.9810,7.0447,13.8790,14.3509,15.6129
2015-12-23 00:33:00,121.0290,132.4010,179.5960,87.5840,82.5140,86.9500,122.4260,41.2542,7.9810,7.0446,13.8792,14.3510,15.6128
2015-12-23 00:34:00,121.0290,132.4010,179.5890,87.5860,82.5150,86.9440,122.4260,41.2519,7.9810,7.0446,13.8792,14.3512,15.6128
2015-12-23 00:35:00,121.0290,132.3990,179.5870,87.5800,82.5150,86.9430,122.4250,41.2519,7.9830,7.0445,13.8787,14.3506,15.6128
2015-12-23 00:36:00,121.0430,132.4060,179.6160,87.5910,82.5260,86.9540,122.4360,41.2580,7.9840,7.0455,13.8798,14.3518,15.6146
2015-12-23 00:37:00,121.0350,132.4030,179.6230,87.5850,82.5210,86.9500,122.4330,41.2554,7.9830,7.0450,13.8795,14.3514,15.6136
2015-12-23 00:38:00,121.0350,132.4050,179.6220,87.5850,82.5180,86.9490,122.4360,41.2554,7.9830,7.0447,13.8795,14.3514,15.6136
2015-12-23 00:39:00,121.0280,132.4120,179.6280,87.5810,82.5140,86.9400,122.4390,41.2534,7.9830,7.0443,13.8803,14.3524,15.6127
2015-12-23 00:40:00,121.0360,132.4040,179.6300,87.5770,82.5170,86.9440,122.4330,41.2544,7.9830,7.0447,13.8795,14.3516,15.6137
2015-12-23 00:41:00,121.0330,132.3980,179.6250,87.5740,82.5110,86.9450,122.4280,41.2536,7.9830,7.0445,13.8787,14.3509,15.6135
2015-12-23 00:42:00,121.0280,132.3930,179.6180,87.5710,82.5050,86.9360,122.4250,41.2521,7.9830,7.0432,13.8781,14.3504,15.6129
2015-12-23 00:43:00,121.0290,132.3940,179.6250,87.5730,82.5130,86.9440,122.4210,41.2523,7.9830,7.0431,13.8785,14.3505,15.6130
2015-12-23 00:44:00,121.0280,132.3920,179.6360,87.5800,82.5260,86.9520,122.4180,41.2520,7.9820,7.0431,13.8784,14.3502,15.6129
2015-12-23 00:45:00,121.0200,132.3830,179.6120,87.5850,82.5130,86.9430,122.4110,41.2488,7.9820,7.0424,13.8772,14.3492,15.6118
2015-12-23 00:46:00,121.0210,132.3830,179.6140,87.5760,82.5120,86.9430,122.4090,41.2492,7.9820,7.0425,13.8771,14.3489,15.6120
2015-12-23 00:47:00,121.0350,132.3950,179.6340,87.5950,82.5250,86.9500,122.4200,41.2544,7.9830,7.0436,13.8783,14.3505,15.6137
2015-12-23 00:48:00,121.0440,132.4080,179.6570,87.6080,82.5260,86.9630,122.4320,41.2527,7.9840,7.0442,13.8796,14.3518,15.6149
2015-12-23 00:49:00,121.0350,132.3930,179.6380,87.6000,82.5220,86.9570,122.4210,41.2492,7.9830,7.0438,13.8784,14.3503,15.6138
2015-12-23 00:50:00,121.0280,132.3830,179.6320,87.5950,82.5190,86.9520,122.4080,41.2478,7.9830,7.0434,13.8774,14.3494,15.6130
2015-12-23 00:51:00,121.0290,132.3790,179.6410,87.5960,82.5040,86.9520,122.4050,41.2471,7.9830,7.0443,13.8772,14.3484,15.6130
2015-12-23 00:52:00,121.0280,132.3840,179.6580,87.5950,82.5090,86.9510,122.4090,41.2465,7.9830,7.0443,13.8781,14.3492,15.6129
2015-12-23 00:53:00,121.0220,132.3730,179.6410,87.5900,82.5050,86.9480,122.4010,41.2450,7.9820,7.0438,13.8771,14.3481,15.6121
2015-12-23 00:54:00,121.0290,132.3770,179.6500,87.6080,82.5160,86.9570,122.4040,41.2473,7.9830,7.0443,13.8776,14.3486,15.6130
2015-12-23 00:55:00,121.0210,132.3840,179.6670,87.5970,82.5050,86.9460,122.4070,41.2457,7.9820,7.0440,13.8778,14.3488,15.6120
2015-12-23 00:56:00,121.0220,132.3910,179.6820,87.6030,82.5120,86.9470,122.4030,41.2471,7.9820,7.0442,13.8785,14.3493,15.6121
2015-12-23 00:57:00,121.0250,132.3860,179.6590,87.6080,82.5160,86.9470,122.4100,41.2506,7.9820,7.0443,13.8785,14.3486,15.6126
2015-12-23 00:58:00,121.0250,132.3940,179.6800,87.6230,82.5240,86.9490,122.4090,41.2468,7.9820,7.0446,13.8790,14.3498,15.6128
2015-12-23 00:59:00,121.0190,132.3900,179.6630,87.6150,82.5200,86.9410,122.4170,41.2447,7.9820,7.0437,13.8785,14.3496,15.6120
2015-12-23 01:00:00,121.0290,132.4180,179.6830,87.6400,82.5390,86.9410,122.4400,41.2463,7.9830,7.0444,13.8811,14.3515,15.6133
2015-12-23 01:01:00,121.0320,132.4190,179.6830,87.6540,82.5500,86.9560,122.4380,41.2514,7.9830,7.0465,13.8816,14.3518,15.6137
2015-12-23 01:02:00,121.0320,132.4210,179.7000,87.6540,82.5540,86.9560,122.4400,41.2515,7.9830,7.0465,13.8828,14.3518,15.6136
2015-12-23 01:03:00,121.0290,132.4170,179.7050,87.6520,82.5540,86.9540,122.4360,41.2547,7.9830,7.0463,13.8823,14.3513,15.6132
2015-12-23 01:04:00,121.0270,132.3950,179.7740,87.6510,82.5520,86.9500,122.4240,41.2487,7.9830,7.0462,13.8812,14.3494,15.6129
2015-12-23 01:05:00,121.0080,132.3770,179.7420,87.6390,82.5400,86.9380,122.4100,41.2422,7.9820,7.0451,13.8801,14.3480,15.6104
2015-12-23 01:06:00,121.0120,132.3770,179.7310,87.6440,82.5410,86.9410,122.4100,41.2436,7.9820,7.0453,13.8807,14.3467,15.6109
2015-12-23 01:07:00,121.0120,132.3680,179.7180,87.6420,82.5440,86.9420,122.4070,41.2430,7.9820,7.0453,13.8796,14.3462,15.6110
2015-12-23 01:08:00,121.0110,132.3610,179.7150,87.6420,82.5410,86.9500,122.3990,41.2423,7.9820,7.0452,13.8790,14.3447,15.6109
2015-12-23 01:09:00,121.0050,132.3530,179.7060,87.6380,82.5380,86.9540,122.3940,41.2385,7.9810,7.0445,13.8786,14.3441,15.6101
