name,start_datetime,end_datetime,time_interval_seconds,game_type,initial_balance
DEMO_5MIN,2026-06-01 09:00:00,2026-06-01 17:00:00,300,ANY,1000000
DEMO_1HOUR,2026-06-01 09:00:00,2026-06-01 17:00:00,3600,ANY,1000000
DEMO_3DAY,2026-06-01 00:00:00,2026-06-04 00:00:00,86400,ANY,1000000
TEST0,2026-06-01 00:00:00,2026-06-01 23:59:00,60,ANY,1000000
TEST1,2026-06-02 00:00:00,2026-06-02 23:59:00,60,ANY,1000000
TEST2,2026-06-03 00:00:00,2026-06-03 23:59:00,60,ANY,1000000
TEST3,2026-06-04 00:00:00,2026-06-04 23:59:00,60,ANY,1000000
EVAL0,2026-06-08 00:00:00,2026-06-08 23:59:00,60,ANY,1000000
EVAL1,2015-12-23 00:00:00,2015-12-23 23:59:00,60,ANY,1000000
EVAL2,2016-04-14 00:00:00,2016-04-14 23:59:00,60,ANY,1000000
EVAL3,2017-11-16 00:00:00,2017-11-16 23:59:00,60,ANY,1000000
EVAL4,2018-08-20 00:00:00,2018-08-20 23:59:00,60,ANY,1000000
TEST4,2019-09-12 00:00:00,2019-09-12 23:59:00,60,ANY,1000000
TEST5,2020-09-29 00:00:00,2020-09-29 23:59:00,60,ANY,1000000
TEST6,2021-03-22 00:00:00,2021-03-22 23:59:00,60,ANY,1000000
TEST7,2022-07-25 00:00:00,2022-07-25 23:59:00,60,ANY,1000000
TEST8,2023-12-07 00:00:00,2023-12-07 23:59:00,60,ANY,1000000
TEST9,2024-11-18 00:00:00,2024-11-18 23:59:00,60,ANY,1000000
TEST10,2025-12-04 00:00:00,2025-12-04 23:59:00,60,ANY,1000000
TEST11,2023-08-14 00:00:00,2023-08-14 23:59:00,60,ANY,1000000
TEST12,2023-08-15 00:00:00,2023-08-15 23:59:00,60,ANY,1000000
TEST13,2023-08-16 00:00:00,2023-08-16 23:59:00,60,ANY,1000000
TEST14,2023-08-17 00:00:00,2023-08-17 23:59:00,60,ANY,1000000
TEST15,2025-11-03 00:00:00,2025-11-03 23:59:00,60,ANY,1000000
TEST16,2025-11-04 00:00:00,2025-11-04 23:59:00,60,ANY,1000000
TEST17,2025-11-05 00:00:00,2025-11-05 23:59:00,60,ANY,1000000
TEST18,2025-11-06 00:00:00,2025-11-06 23:59:00,60,ANY,1000000
TUTORIAL1,2000-01-06 00:00:00,2000-01-06 16:39:00,60,ANY,1000000
TUTORIAL2,2000-02-03 00:00:00,2000-02-03 16:39:00,60,ANY,1000000
TUTORIAL3,2000-03-02 00:00:00,2000-03-02 16:39:00,60,ANY,1000000
