DateTime,USD,EUR,GBP,AUD,NZD,CAD,CHF,TRY,ZAR,MXN,NOK,SEK,HKD
2019/6/3 0:00,108.1330,120.9400,136.8040,75.2020,70.8530,80.1170,108.3540,18.4727,7.4310,5.5116,12.3750,11.4121,13.82
2019/6/3 0:01,108.1330,120.9420,136.8030,75.2090,70.8570,80.1180,108.3540,18.4726,7.4311,5.5116,12.3753,11.4129,13.82
2019/6/3 0:02,108.1400,120.9560,136.8190,75.2130,70.8610,80.1230,108.3740,18.4738,7.4316,5.5121,12.3765,11.4136,13.82
2019/6/3 0:03,108.1420,120.9580,136.8280,75.2110,70.8620,80.1240,108.3780,18.4741,7.4315,5.5123,12.3769,11.4142,13.82
2019/6/3 0:04,108.1480,120.9620,136.8260,75.2170,70.8680,80.1300,108.3910,18.4752,7.4321,5.5125,12.3767,11.4148,13.82
2019/6/3 0:05,108.1420,120.9550,136.8160,75.2070,70.8630,80.1240,108.3950,18.4741,7.4316,5.5122,12.3764,11.4142,13.82
2019/6/3 0:06,108.1480,120.9590,136.8220,75.2160,70.8670,80.1300,108.4020,18.4752,7.4320,5.5127,12.3768,11.4146,13.82
2019/6/3 0:07,108.1470,120.9580,136.8230,75.2160,70.8670,80.1330,108.4010,18.4750,7.4325,5.5125,12.3767,11.4142,13.82
2019/6/3 0:08,108.1510,120.9610,136.8300,75.2200,70.8740,80.1320,108.4050,18.4757,7.4331,5.5129,12.3766,11.4132,13.82
2019/6/3 0:09,108.1530,120.9590,136.8310,75.2180,70.8750,80.1340,108.3990,18.4760,7.4335,5.5128,12.3769,11.4125,13.82
2019/6/3 0:10,108.1580,120.9630,136.8370,75.2220,70.8800,80.1370,108.4030,18.4768,7.4327,5.5132,12.3775,11.4152,13.82
2019/6/3 0:11,108.1650,120.9710,136.8460,75.2290,70.8860,80.1430,108.4100,18.4780,7.4331,5.5135,12.3776,11.4163,13.82
2019/6/3 0:12,108.1680,120.9760,136.8490,75.2290,70.8860,80.1450,108.4130,18.4786,7.4336,5.5136,12.3782,11.4141,13.82
2019/6/3 0:13,108.1700,120.9760,136.8510,75.2210,70.8810,80.1460,108.4160,18.4790,7.4341,5.5136,12.3782,11.4132,13.82
2019/6/3 0:14,108.1690,120.9760,136.8470,75.2190,70.8800,80.1450,108.4150,18.4787,7.4344,5.5135,12.3781,11.4166,13.82
2019/6/3 0:15,108.1680,120.9720,136.8390,75.2140,70.8750,80.1440,108.4120,18.4786,7.4332,5.5132,12.3778,11.4152,13.82
2019/6/3 0:16,108.1600,120.9660,136.8200,75.2120,70.8740,80.1370,108.4080,18.4772,7.4333,5.5129,12.3777,11.4154,13.82
2019/6/3 0:17,108.1610,120.9670,136.8280,75.2120,70.8750,80.1380,108.4090,18.4774,7.4327,5.5131,12.3778,11.4154,13.82
2019/6/3 0:18,108.1500,120.9550,136.8100,75.2040,70.8680,80.1300,108.3970,18.4760,7.4316,5.5125,12.3764,11.4139,13.82
2019/6/3 0:19,108.1470,120.9500,136.8030,75.2020,70.8650,80.1280,108.3940,18.4750,7.4326,5.5123,12.3761,11.4135,13.82
2019/6/3 0:20,108.1510,120.9560,136.8070,75.2070,70.8660,80.1330,108.3980,18.4758,7.4330,5.5127,12.3766,11.4139,13.82
2019/6/3 0:21,108.1410,120.9400,136.7890,75.1880,70.8500,80.1240,108.3880,18.4741,7.4323,5.5121,12.3747,11.4114,13.82
2019/6/3 0:22,108.1360,120.9400,136.7760,75.1790,70.8470,80.1210,108.3810,18.4733,7.4320,5.5111,12.3743,11.4117,13.82
2019/6/3 0:23,108.1350,120.9370,136.7750,75.1740,70.8430,80.1150,108.3800,18.4731,7.4319,5.5111,12.3740,11.4117,13.82
2019/6/3 0:24,108.1240,120.9240,136.7510,75.1670,70.8370,80.1060,108.3790,18.4711,7.4303,5.5105,12.3728,11.4097,13.82
2019/6/3 0:25,108.1220,120.9170,136.7460,75.1640,70.8330,80.1060,108.3690,18.4708,7.4300,5.5104,12.3717,11.4073,13.82
2019/6/3 0:26,108.1220,120.9060,136.7430,75.1560,70.8230,80.1000,108.3600,18.4708,7.4307,5.5081,12.3708,11.4051,13.82
2019/6/3 0:27,108.1200,120.9040,136.7400,75.1620,70.8200,80.0970,108.3630,18.4705,7.4312,5.5087,12.3712,11.4069,13.82
2019/6/3 0:28,108.1280,120.9140,136.7410,75.1680,70.8250,80.1040,108.3670,18.4718,7.4309,5.5091,12.3720,11.4080,13.82
2019/6/3 0:29,108.1270,120.9180,136.7380,75.1690,70.8250,80.1020,108.3660,18.4715,7.4306,5.5091,12.3718,11.4090,13.82
2019/6/3 0:30,108.1210,120.9060,136.7310,75.1550,70.8190,80.0990,108.3650,18.4706,7.4302,5.5084,12.3708,11.4083,13.82
2019/6/3 0:31,108.1170,120.9010,136.7270,75.1470,70.8190,80.0940,108.3590,18.4700,7.4299,5.5085,12.3701,11.4080,13.82
2019/6/3 0:32,108.1230,120.9020,136.7230,75.1440,70.8160,80.0990,108.3590,18.4708,7.4302,5.5090,12.3709,11.4080,13.82
2019/6/3 0:33,108.1290,120.9080,136.7170,75.1580,70.8280,80.1030,108.3660,18.4720,7.4307,5.5092,12.3713,11.4079,13.82
2019/6/3 0:34,108.1270,120.9100,136.7190,75.1560,70.8290,80.1030,108.3630,18.4716,7.4313,5.5095,12.3712,11.4083,13.82
2019/6/3 0:35,108.1300,120.9150,136.7240,75.1610,70.8310,80.1030,108.3680,18.4723,7.4314,5.5096,12.3720,11.4088,13.82
2019/6/3 0:36,108.1280,120.9150,136.7220,75.1560,70.8300,80.1040,108.3670,18.4720,7.4318,5.5095,12.3716,11.4086,13.82
2019/6/3 0:37,108.1270,120.9130,136.7210,75.1580,70.8290,80.1030,108.3650,18.4718,7.4318,5.5094,12.3715,11.4077,13.82
2019/6/3 0:38,108.1280,120.9230,136.7230,75.1640,70.8310,80.1040,108.3670,18.4720,7.4318,5.5098,12.3711,11.4082,13.82
2019/6/3 0:39,108.1290,120.9170,136.7120,75.1580,70.8280,80.1040,108.3660,18.4720,7.4322,5.5097,12.3720,11.4082,13.82
2019/6/3 0:40,108.1220,120.9090,136.7150,75.1540,70.8250,80.0990,108.3600,18.4709,7.4314,5.5094,12.3715,11.4077,13.82
2019/6/3 0:41,108.1270,120.9190,136.7290,75.1570,70.8290,80.1030,108.3650,18.4711,7.4318,5.5096,12.3710,11.4089,13.82
2019/6/3 0:42,108.1220,120.9130,136.7160,75.1530,70.8250,80.0990,108.3600,18.4701,7.4314,5.5094,12.3710,11.4073,13.82
2019/6/3 0:43,108.1280,120.9220,136.7240,75.1720,70.8320,80.1030,108.3650,18.4711,7.4316,5.5098,12.3720,11.4080,13.82
2019/6/3 0:44,108.1270,120.9180,136.7240,75.1700,70.8310,80.1030,108.3640,18.4708,7.4315,5.5102,12.3718,11.4088,13.82
2019/6/3 0:45,108.1270,120.9180,136.7270,75.1670,70.8310,80.1020,108.3640,18.4708,7.4315,5.5102,12.3718,11.4089,13.82
2019/6/3 0:46,108.1280,120.9100,136.7220,75.1680,70.8310,80.1030,108.3610,18.4710,7.4316,5.5102,12.3701,11.4071,13.82
2019/6/3 0:47,108.1250,120.9050,136.7110,75.1680,70.8300,80.1020,108.3590,18.4705,7.4314,5.5100,12.3695,11.4065,13.82
2019/6/3 0:48,108.1260,120.9020,136.7170,75.1710,70.8290,80.1030,108.3530,18.4705,7.4313,5.5100,12.3696,11.4072,13.82
2019/6/3 0:49,108.1190,120.8930,136.7080,75.1640,70.8220,80.0970,108.3450,18.4679,7.4308,5.5097,12.3689,11.4068,13.82
2019/6/3 0:50,108.1120,120.8870,136.6940,75.1490,70.8130,80.0920,108.3400,18.4665,7.4303,5.5092,12.3678,11.4060,13.82
2019/6/3 0:51,108.1110,120.8840,136.6900,75.1510,70.8120,80.0910,108.3360,18.4665,7.4303,5.5092,12.3675,11.4053,13.82
2019/6/3 0:52,108.1100,120.8800,136.6930,75.1450,70.8110,80.0900,108.3350,18.4663,7.4301,5.5089,12.3675,11.4042,13.82
2019/6/3 0:53,108.1080,120.8760,136.6870,75.1370,70.8070,80.0830,108.3330,18.4648,7.4271,5.5058,12.3673,11.4044,13.82
2019/6/3 0:54,108.1050,120.8670,136.6840,75.1310,70.8020,80.0810,108.3250,18.4643,7.4274,5.5057,12.3662,11.4040,13.82
2019/6/3 0:55,108.1120,120.8660,136.6910,75.1360,70.8070,80.0860,108.3230,18.4653,7.4277,5.5062,12.3662,11.4048,13.82
2019/6/3 0:56,108.1000,120.8440,136.6750,75.1260,70.8000,80.0770,108.3120,18.4633,7.4268,5.5054,12.3644,11.4025,13.82
2019/6/3 0:57,108.1010,120.8250,136.6550,75.1180,70.7890,80.0720,108.3080,18.4636,7.4256,5.5048,12.3624,11.4011,13.82
2019/6/3 0:58,108.0820,120.8040,136.6280,75.1040,70.7780,80.0590,108.2940,18.4605,7.4242,5.5040,12.3603,11.3984,13.82
2019/6/3 0:59,108.0700,120.7890,136.6150,75.0870,70.7680,80.0510,108.3010,18.4581,7.4234,5.5032,12.3564,11.3970,13.82
2019/6/3 1:00,108.0910,120.8150,136.6440,75.1120,70.7810,80.0650,108.3150,18.4620,7.4254,5.5044,12.3606,11.3994,13.82
2019/6/3 1:01,108.1040,120.8290,136.6620,75.1190,70.7900,80.0730,108.3240,18.4643,7.4262,5.5050,12.3616,11.3999,13.82
2019/6/3 1:02,108.1100,120.8340,136.6670,75.1130,70.7810,80.0780,108.3320,18.4653,7.4264,5.5053,12.3624,11.4005,13.82
2019/6/3 1:03,108.1210,120.8490,136.6870,75.1340,70.8030,80.0890,108.3430,18.4664,7.4273,5.5058,12.3637,11.4015,13.82
2019/6/3 1:04,108.1080,120.8270,136.6650,75.1120,70.7820,80.0750,108.3300,18.4649,7.4263,5.5052,12.3619,11.3996,13.82
2019/6/3 1:05,108.1140,120.8320,136.6740,75.1220,70.7880,80.0820,108.3290,18.4637,7.4267,5.5055,12.3627,11.4007,13.82
2019/6/3 1:06,108.1250,120.8450,136.6880,75.1330,70.7920,80.0930,108.3280,18.4655,7.4277,5.5059,12.3640,11.4019,13.82
2019/6/3 1:07,108.1340,120.8560,136.6990,75.1420,70.7990,80.1120,108.3370,18.4671,7.4282,5.5065,12.3646,11.4030,13.82
2019/6/3 1:08,108.1430,120.8730,136.7110,75.1470,70.8070,80.1250,108.3450,18.4687,7.4297,5.5102,12.3660,11.4045,13.82
2019/6/3 1:09,108.1370,120.8590,136.7120,75.1400,70.7980,80.1150,108.3360,18.4677,7.4290,5.5098,12.3648,11.4036,13.82
2019/6/3 1:10,108.1370,120.8660,136.7150,75.1320,70.7970,80.1140,108.3400,18.4673,7.4292,5.5096,12.3654,11.4041,13.82
2019/6/3 1:11,108.1420,120.8710,136.7220,75.1370,70.8020,80.1170,108.3430,18.4685,7.4294,5.5098,12.3661,11.4046,13.82
2019/6/3 1:12,108.1310,120.8590,136.7080,75.1260,70.7950,80.1100,108.3330,18.4667,7.4283,5.5095,12.3655,11.4035,13.82
2019/6/3 1:13,108.1250,120.8490,136.7020,75.1250,70.7930,80.1040,108.3340,18.4656,7.4281,5.5092,12.3631,11.4027,13.82
2019/6/3 1:14,108.1370,120.8700,136.7170,75.1400,70.8080,80.1150,108.3500,18.4689,7.4293,5.5101,12.3676,11.4052,13.82
2019/6/3 1:15,108.1380,120.8770,136.7170,75.1430,70.8120,80.1190,108.3500,18.4724,7.4293,5.5099,12.3680,11.4054,13.82
